Judul Berita,Link Berita,Link Gambar,themes,recommendation
Terbaru! Formasi CPNS & PPPK 2024 di 7 Kementerian,https://www.cnbcindonesia.com/news/20240425060824-4-533212/terbaru-formasi-cpns-pppk-2024-di-7-kementerian,https://awsimages.detik.net.id/visual/2023/11/09/peserta-mengikuti-pelaksanaan-skdseleksi-kompetensi-casn-2023-di-kantor-badan-kepegawaian-negara-bkn-pusat-jakarta-kamis-91120_43.jpeg?w=152&q=90,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
Terbaru! Kemensos Buka 40.839 Formasi PPAK di CASN 2024,https://www.cnbcindonesia.com/news/20240419135003-4-531686/terbaru-kemensos-buka-40839-formasi-ppak-di-casn-2024,https://awsimages.detik.net.id/visual/2023/05/24/menteri-sosial-tri-rismaharini-saat-memberi-keterangan-pers-di-gedung-kementerian-sosial-ri-jakarta-rabu-245-kementerian-sosia-7_43.jpeg?w=152&q=90,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
"Lowongan CPNS 2024 Dibuka Mei Ini, Cek Syarat dan Link Pendaftaran",https://www.cnbcindonesia.com/news/20240511134209-4-537245/lowongan-cpns-2024-dibuka-mei-ini-cek-syarat-dan-link-pendaftaran,https://awsimages.detik.net.id/visual/2021/09/02/seleksi-kompetensi-dasar-skd-bagi-calon-pegawai-negeri-sipil-cpns_43.jpeg?w=152&q=90,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
"Kemensos Buka 117 Lowongan CPNS, Catat Nih Syaratnya",https://finance.detik.com/cpns/d-4781253/kemensos-buka-117-lowongan-cpns-catat-nih-syaratnya,https://akcdn.detik.net.id/community/media/visual/2016/09/26/5dbc7eb9-5505-42af-b30e-378368a33906_43.jpg?w=250&q=,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
CASN 2024: Ini 7 Instansi yang Buka Lowongan CPNS & PPPK,https://www.cnbcindonesia.com/news/20240422062214-4-532076/casn-2024-ini-7-instansi-yang-buka-lowongan-cpns-pppk,https://awsimages.detik.net.id/visual/2023/11/09/peserta-mengikuti-pelaksanaan-skdseleksi-kompetensi-casn-2023-di-kantor-badan-kepegawaian-negara-bkn-pusat-jakarta-kamis-91120-11_43.jpeg?w=152&q=90,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
Mau Kerja Dekat Jokowi atau Sri Mulyani? Ini Syaratnya,https://www.cnbcindonesia.com/news/20191117164611-4-115849/mau-kerja-dekat-jokowi-atau-sri-mulyani-ini-syaratnya,https://awsimages.detik.net.id/visual/2019/10/07/84110bb2-0a72-467f-ad99-e5f4df1a5ca4_43.jpeg?w=152&q=90,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
Daftar Nama yang Lulus SKD CPNS di Kemensos,https://finance.detik.com/loker/d-4329980/daftar-nama-yang-lulus-skd-cpns-di-kemensos,https://akcdn.detik.net.id/community/media/visual/2018/11/03/65bdb3f1-2e74-4832-b1f4-d0501ca8b1fb_43.jpeg?w=250&q=,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
Kemensos Buka Lowongan untuk Pendamping PKH 2019,https://finance.detik.com/loker/d-4457348/kemensos-buka-lowongan-untuk-pendamping-pkh-2019,https://akcdn.detik.net.id/community/media/visual/2018/03/08/2ffc9004-70ec-4f7b-877d-89a52e4da94e_43.jpeg?w=250&q=,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
"Nih Daftar Formasi CPNS & PPPK di Kementerian, Kemenag Buka Paling Banyak!",https://finance.detik.com/cpns/d-7302820/nih-daftar-formasi-cpns-pppk-di-kementerian-kemenag-buka-paling-banyak,https://akcdn.detik.net.id/community/media/visual/2023/08/10/ilustrasi-tes-cpns_43.jpeg?w=250&q=,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
"Catat! Ini Syarat, Jadwal, Formasi dan Link Pendaftaran CPNS 2024",https://www.cnbcindonesia.com/tech/20240504173155-37-535759/catat-ini-syarat-jadwal-formasi-dan-link-pendaftaran-cpns-2024,https://awsimages.detik.net.id/visual/2023/08/29/lengkap-formasi-syarat-cara-daftar-cpns-pppk-2023-1_43.jpeg?w=152&q=90,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
"Link Pendaftaran CPNS, Formasi, Syarat, dan Jadwalnya",https://www.cnbcindonesia.com/tech/20240518081848-37-539227/link-pendaftaran-cpns-formasi-syarat-dan-jadwalnya,https://awsimages.detik.net.id/visual/2023/10/10/pendaftaran-cpns-diperpanjang-ini-5-instansi-sepi-peminat_43.jpeg?w=152&q=90,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
"7 Lembaga Ini Buka Formasi Jumbo CPNS, Cek Cara Daftarnya",https://www.cnbcindonesia.com/news/20240513092412-4-537502/7-lembaga-ini-buka-formasi-jumbo-cpns-cek-cara-daftarnya,https://awsimages.detik.net.id/visual/2024/04/02/menteri-panrb-abdullah-azwar-anas-menghimbau-untuk-semua-asn-tidak-menggunakan-kendaraan-dinas-untuk-mudik_43.png?w=152&q=90,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
Wah! 3 Kementerian Ini Buka Formasi CASN Terbesar di 2024,https://www.cnbcindonesia.com/news/20240421105729-4-531985/wah-3-kementerian-ini-buka-formasi-casn-terbesar-di-2024,https://awsimages.detik.net.id/visual/2023/11/09/peserta-mengikuti-pelaksanaan-skdseleksi-kompetensi-casn-2023-di-kantor-badan-kepegawaian-negara-bkn-pusat-jakarta-kamis-91120-16_43.jpeg?w=152&q=90,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
Daftar CPNS Kemensos? Ini Daftar Hasil Seleksinya,https://finance.detik.com/berita-ekonomi-bisnis/d-3751558/daftar-cpns-kemensos-ini-daftar-hasil-seleksinya,https://akcdn.detik.net.id/community/media/visual/2017/09/06/6f260f0b-5a6e-440d-9f03-4aeb8e12eee6_43.jpg?w=250&q=,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
"Terbaru, 40.839 Lowongan Kerja untuk PPPK dan CASN Kemensos 2024",http://www.kompas.com/tren/read/2024/04/20/093000765/terbaru-40.839-lowongan-kerja-untuk-pppk-dan-casn-kemensos-2024,https://asset.kompas.com/crops/XSaMFw3p_-yrqFKlB1ZRgRWnLMs=/0x0:1279x853/490x326/data/photo/2024/04/13/661a3b3ab15a5.jpg,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
"Link Pendaftaran CPNS 2024, Cek Jadwal, Formasi, dan Syaratnya!",https://www.cnbcindonesia.com/tech/20240503103419-37-535470/link-pendaftaran-cpns-2024-cek-jadwal-formasi-dan-syaratnya,https://awsimages.detik.net.id/visual/2021/09/02/seleksi-kompetensi-dasar-skd-bagi-calon-pegawai-negeri-sipil-cpns-13_43.jpeg?w=152&q=90,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
Kapan Seleksi CPNS 2024 Dibuka? Ini Bocoran dari BKN,https://finance.detik.com/cpns/d-7303416/kapan-seleksi-cpns-2024-dibuka-ini-bocoran-dari-bkn,https://akcdn.detik.net.id/community/media/visual/2022/01/20/pemerintah-kota-cimahi-tidak-akan-menerima-calon-pegawai-negeri-sipil-pada-tahun-2022_43.jpeg?w=250&q=,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
"Cara Daftar CPNS 2023 yang Dibuka Hari Ini, Bisa Cek Gaji kalau Lolos",https://finance.detik.com/cpns/d-6940564/cara-daftar-cpns-2023-yang-dibuka-hari-ini-bisa-cek-gaji-kalau-lolos,https://akcdn.detik.net.id/community/media/visual/2023/08/10/ilustrasi-tes-cpns_43.jpeg?w=250&q=,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
"Link Pendaftaran CPNS 2024, Jadwal dan Formasi",https://www.cnbcindonesia.com/tech/20240508132533-37-536697/link-pendaftaran-cpns-2024-jadwal-dan-formasi,https://awsimages.detik.net.id/visual/2023/11/09/pelaksanaan-tes-seleksi-kompetensi-dasar-skd-calon-pegawai-negeri-sipil-cpns-mulai-dilaksanakan-hari-ini-kamis-9112023-salah-s_43.jpeg?w=152&q=90,kemensos,"['Sosial', 'Kemensos', 'CPNS']"
"CPNS 2023 Buka Formasi untuk Lulusan SMA, Digaji Berapa?",https://www.cnbcindonesia.com/news/20230922062241-4-474598/cpns-2023-buka-formasi-untuk-lulusan-sma-digaji-berapa,https://awsimages.detik.net.id/visual/2023/09/19/cpns-2023_43.png?w=152&q=90,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
Seleksi CPNS 2023: 5 Instansi Jadi Incaran Peserta,https://www.cnbcindonesia.com/news/20231003084154-4-477314/seleksi-cpns-2023-5-instansi-jadi-incaran-peserta,https://awsimages.detik.net.id/visual/2019/11/04/9b03981f-cf22-4028-8161-c931bc3978aa_43.jpeg?w=152&q=90,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
Mengintip Besaran Gaji Sipir Penjara Lulusan SMA di Kemenkumham,http://money.kompas.com/read/2020/06/19/090128526/mengintip-besaran-gaji-sipir-penjara-lulusan-sma-di-kemenkumham,https://asset.kompas.com/crops/Nn9t6bcSEnX-8gG-Q7HhHXwymFU=/20x14:969x646/230x153/data/photo/2018/09/14/139045254.jpg,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
Seleksi CPNS 2023: 6 Instansi Ini Buka Lowongan!,https://www.cnbcindonesia.com/news/20230912064636-4-471547/seleksi-cpns-2023-6-instansi-ini-buka-lowongan,https://awsimages.detik.net.id/visual/2021/09/02/seleksi-kompetensi-dasar-skd-bagi-calon-pegawai-negeri-sipil-cpns-8_43.jpeg?w=152&q=90,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
"Kemenkumham Rilis Hasil Akhir Seleksi CPNS 2019, Ini Informasi Lengkapnya!",http://www.kompas.com/tren/read/2020/10/31/135200665/kemenkumham-rilis-hasil-akhir-seleksi-cpns-2019-ini-informasi-lengkapnya-,https://asset.kompas.com/crops/L2Z70jyz99amdRgxoceebMAc2Zw=/161x37:1112x670/490x326/data/photo/2020/10/31/5f9ceeb8daf88.jpg,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
CPNS 2023: BRIN Buka Lowongan 500 Peneliti Ahli Muda,https://www.cnbcindonesia.com/news/20230911083941-4-471230/cpns-2023-brin-buka-lowongan-500-peneliti-ahli-muda,https://awsimages.detik.net.id/visual/2020/09/01/tes-cpns-di-tengah-pandemi-cnbc-indonesia-andrean-kristianto-24_43.jpeg?w=152&q=90,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
"Polisi Ringkus 4 Penipu Seleksi CPNS yang Rugikan Ratusan Korban Rp 7,4 M",https://www.detik.com/jatim/hukum-dan-kriminal/d-7150504/polisi-ringkus-4-penipu-seleksi-cpns-yang-rugikan-ratusan-korban-rp-7-4-m,https://akcdn.detik.net.id/community/media/visual/2024/01/19/penipuan-seleksi-cpns-di-jawa-timur-dengan-kerugian-rp-74-miliar-terbongkar-4_43.jpeg?w=250&q=90,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
"Nah, 3 Kementerian & Lembaga Ini Buka CPNS 2023, Daftar Yuk!",https://www.cnbcindonesia.com/news/20230905063419-4-469177/nah-3-kementerian-lembaga-ini-buka-cpns-2023-daftar-yuk,https://awsimages.detik.net.id/visual/2021/09/02/seleksi-kompetensi-dasar-skd-bagi-calon-pegawai-negeri-sipil-cpns-12_43.jpeg?w=152&q=90,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
Joki CPNS yang Dapat Skor Tertinggi di Makassar Dijanjikan Rp 20 Juta,https://news.detik.com/berita/d-7037894/joki-cpns-yang-dapat-skor-tertinggi-di-makassar-dijanjikan-rp-20-juta,https://akcdn.detik.net.id/community/media/visual/2023/11/14/kanit-tipidter-polrestabes-makassar-akp-hamka_43.jpeg?w=250&q=90,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
"Ini Sosok Joki CPNS Kemenkumham, Mahasiswa Unhas Makassar Semester Akhir",http://makassar.kompas.com/read/2023/11/15/171203578/ini-sosok-joki-cpns-kemenkumham-mahasiswa-unhas-makassar-semester-akhir,https://asset.kompas.com/crops/pcGV07e5V1HGkefJlJ3EQU-APSw=/3x0:1340x891/230x153/data/photo/2022/05/30/62942778e5f2a.jpg,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
Cek Yuk! 3 Instansi Ini Buka Lowongan CPNS 2023,https://www.cnbcindonesia.com/news/20230907061742-4-470162/cek-yuk-3-instansi-ini-buka-lowongan-cpns-2023,https://awsimages.detik.net.id/visual/2021/03/08/cover-topik-test-cpnsluar_43.png?w=152&q=90,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
Seleksi CPNS 2023: 6 Instansi Ini Buka Lowongan!,https://www.cnbcindonesia.com/news/20230912064636-4-471547/seleksi-cpns-2023-6-instansi-ini-buka-lowongan,https://awsimages.detik.net.id/visual/2021/09/02/seleksi-kompetensi-dasar-skd-bagi-calon-pegawai-negeri-sipil-cpns-8_43.jpeg?w=152&q=90,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
"Serba-serbi Ujian CPNS, Ada Kembang serta Jimat hingga Penangkapan Joki",http://regional.kompas.com/read/2023/11/15/120500778/serba-serbi-ujian-cpns-ada-kembang-serta-jimat-hingga-penangkapan-joki,https://asset.kompas.com/crops/l9Yhg_9W9HsOqWZCYc-uR9TRl-c=/0x0:1200x800/230x153/data/photo/2023/11/12/655066e33ca78.jpg,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
2 Joki CPNS Kemenkumham di Makassar Ditangkap,https://20.detik.com/detikflash/20181108-181108095/2-joki-cpns-kemenkumham-di-makassar-ditangkap,https://akcdn.detik.net.id/community/media/visual/videoservice/AdminTV/2018/11/08/0a84b741551c4a5e8aaadfafd1aa1817-0s.jpg?w=900,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
"Hasil SKD CPNS Kemenkumham 2023 Diumumkan, Ini Cara Mengeceknya",http://www.kompas.com/tren/read/2023/11/24/143000465/hasil-skd-cpns-kemenkumham-2023-diumumkan-ini-cara-mengeceknya,https://asset.kompas.com/crops/XiF9MHgwB776X4FWErwMXsjVQ2s=/0x25:1034x714/230x153/data/photo/2023/11/24/65601d73f1b99.jpg,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
"Daftar Sekolah Kedinasan yang Menerima Lulusan SMK, Apa Saja?",https://www.detik.com/edu/seleksi-masuk-pt/d-7346553/daftar-sekolah-kedinasan-yang-menerima-lulusan-smk-apa-saja,https://akcdn.detik.net.id/community/media/visual/2022/06/12/ilustrasi-tes-skd-sekolah-kedinasan_43.jpeg?w=250&q=90,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
Polisi Masih Buru Dua Orang di Makassar yang Gunakan Jasa Joki CPNS,http://regional.kompas.com/read/2020/02/19/18105981/polisi-masih-buru-dua-orang-di-makassar-yang-gunakan-jasa-joki-cpns,https://asset.kompas.com/crops/gO2oOafKDmH9lTGh_Y62Bq3icTE=/80x53:720x480/230x153/data/photo/2020/02/05/5e39a6efca4aa.jpg,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
Cek! 5 Instansi Ini Buka Seleksi CPNS 2023,https://www.cnbcindonesia.com/news/20230911085224-4-471232/cek-5-instansi-ini-buka-seleksi-cpns-2023,https://awsimages.detik.net.id/visual/2021/09/02/seleksi-kompetensi-dasar-skd-bagi-calon-pegawai-negeri-sipil-cpns-11_43.jpeg?w=152&q=90,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
Joki CPNS Kemenkumham di Surabaya yang Tertangkap Dijanjikan Rp 30 Juta,https://www.detik.com/jatim/hukum-dan-kriminal/d-7038371/joki-cpns-kemenkumham-di-surabaya-yang-tertangkap-dijanjikan-rp-30-juta,https://akcdn.detik.net.id/community/media/visual/2023/11/15/pria-jadi-joki-cpns-di-surabaya-ditangkap_43.jpeg?w=250&q=90,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
Polisi Ungkap Modus Mahasiswa Jadi Joki Tes CPNS Kemenkumham di Makassar,https://www.detik.com/sulsel/berita/d-7037107/polisi-ungkap-modus-mahasiswa-jadi-joki-tes-cpns-kemenkumham-di-makassar,https://akcdn.detik.net.id/community/media/visual/2023/11/14/kasat-reskrim-polrestabes-makassar-akbp-ridwan-hutagaol_43.jpeg?w=250&q=90,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
Duh! Peserta Tes CPNS Kepergok Bawa Jimat Garam hingga Bunga Kantil,https://news.detik.com/berita/d-7034064/duh-peserta-tes-cpns-kepergok-bawa-jimat-garam-hingga-bunga-kantil,https://akcdn.detik.net.id/community/media/visual/2023/08/10/ilustrasi-tes-cpns_43.jpeg?w=250&q=90,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
"Jadi Joki CPNS di Surabaya, Mahasiswa Dijanjikan Imbalan hingga Rp 30 Juta jika Loloskan Peserta",http://surabaya.kompas.com/read/2023/11/15/112100378/jadi-joki-cpns-di-surabaya-mahasiswa-dijanjikan-imbalan-hingga-rp-30-juta,https://asset.kompas.com/crops/QSXWJ_1bY5GaGAWk-dXJIfb9VPo=/0x0:0x0/230x153/data/photo/2023/11/15/65541b6964a6f.jpg,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
Tertangkapnya Mahasiswa Jember Jadi Joki CPNS di Kemenkumham Jatim,https://www.detik.com/jatim/hukum-dan-kriminal/d-7039761/tertangkapnya-mahasiswa-jember-jadi-joki-cpns-di-kemenkumham-jatim,https://akcdn.detik.net.id/community/media/visual/2023/11/15/polisi-tangkap-joki-cpns-di-surabaya-3_43.jpeg?w=250&q=90,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
Link Hasil SKD CPNS Kemenkumham 2021 dan Tahapan Seleksi Selanjutnya,http://www.kompas.com/tren/read/2021/11/19/143000665/link-hasil-skd-cpns-kemenkumham-2021-dan-tahapan-seleksi-selanjutnya,https://asset.kompas.com/crops/dIEQIuY4JmbY552PS9EuR3cyBRI=/99x71:936x629/490x326/data/photo/2021/11/19/61970ebbb20ef.png,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
Cara Cek Pengumuman CPNS Kemenkumham Buka cpns.kemenkumham.go.id,http://www.kompas.com/tren/read/2021/11/19/095935465/cara-cek-pengumuman-cpns-kemenkumham-buka-cpnskemenkumhamgoid,https://asset.kompas.com/crops/845WdScOc4PGvP9OopRsReADcRU=/99x71:936x629/230x153/data/photo/2021/11/19/61970ebbb20ef.png,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
"Hasil Tes SKD CPNS Kemenkumham Resmi Diumumkan, Berikut Rinciannya",http://money.kompas.com/read/2020/03/23/175416826/hasil-tes-skd-cpns-kemenkumham-resmi-diumumkan-berikut-rinciannya,https://asset.kompas.com/crops/AS0dwYm28hrF9ABTdeCm_lkkl5I=/0x0:0x0/230x153/data/photo/2020/02/10/5e41280e4d1da.jpg,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
7 Instansi yang Buka Formasi CPNS 2024 untuk SMA/SMK Sederajat Lengkap,https://www.detik.com/jateng/bisnis/d-7242833/7-instansi-yang-buka-formasi-cpns-2024-untuk-sma-smk-sederajat-lengkap,https://akcdn.detik.net.id/community/media/visual/2023/08/10/ilustrasi-tes-cpns_43.jpeg?w=250&q=90,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
"Syarat CPNS 2023 Kemenkumham Formasi Penjaga Tahanan, SMA Bisa Daftar",http://www.kompas.com/tren/read/2023/09/02/060000265/syarat-cpns-2023-kemenkumham-formasi-penjaga-tahanan-sma-bisa-daftar,https://asset.kompas.com/crops/Z61Rtw-_qOnS31zI5lUx3Y48cDM=/0x0:0x0/230x153/data/photo/2022/12/13/6398864997ea0.jpg,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
Joki Tes CPNS Kemenkumham di Surabaya Tertangkap,https://www.detik.com/jatim/hukum-dan-kriminal/d-7037714/joki-tes-cpns-kemenkumham-di-surabaya-tertangkap,https://akcdn.detik.net.id/community/media/visual/2023/11/15/pria-jadi-joki-cpns-di-surabaya-ditangkap-3_43.jpeg?w=250&q=90,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
"Ini Sosok Joki CPNS Kemenkumham, Mahasiswa Unhas Makassar Semester Akhir",http://makassar.kompas.com/read/2023/11/15/171203578/ini-sosok-joki-cpns-kemenkumham-mahasiswa-unhas-makassar-semester-akhir,https://asset.kompas.com/crops/pcGV07e5V1HGkefJlJ3EQU-APSw=/3x0:1340x891/230x153/data/photo/2022/05/30/62942778e5f2a.jpg,kemenkumham,"['Hukum', 'Kemenkumham', 'CPNS']"
7 Instansi yang Buka Formasi CPNS 2024 untuk SMA/SMK Sederajat Lengkap,https://www.detik.com/jateng/bisnis/d-7242833/7-instansi-yang-buka-formasi-cpns-2024-untuk-sma-smk-sederajat-lengkap,https://akcdn.detik.net.id/community/media/visual/2023/08/10/ilustrasi-tes-cpns_43.jpeg?w=250&q=90,kemenkominfo,"['Komunikasi', 'Informatika', 'Kemenkominfo', 'CPNS']"
"Cerita di Balik Viral Edit Foto Jas: 'Ditolak' di IG, Ramai di Twitter",https://news.detik.com/berita/d-4404966/cerita-di-balik-viral-edit-foto-jas-ditolak-di-ig-ramai-di-twitter,https://akcdn.detik.net.id/community/media/visual/2019/01/29/b33296bb-4994-4284-b69c-9309efdba868_43.jpeg?w=250&q=90,kemenkominfo,"['Komunikasi', 'Informatika', 'Kemenkominfo', 'CPNS']"
KemenPAN-RB Pantau Medsos CPNS yang Posting Anti-NKRI,https://news.detik.com/berita/d-4781392/kemenpan-rb-pantau-medsos-cpns-yang-posting-anti-nkri,https://akcdn.detik.net.id/community/media/visual/2019/11/12/5dbe65a5-64eb-4c27-b206-c965fb017a10_43.jpeg?w=250&q=90,kemenkominfo,"['Komunikasi', 'Informatika', 'Kemenkominfo', 'CPNS']"
10.000 PNS Bisa Daftar Jadi Pegawai Pajak dan Kemenkeu,https://finance.detik.com/berita-ekonomi-bisnis/d-2449774/10-000-pns-bisa-daftar-jadi-pegawai-pajak-dan-kemenkeu,https://akcdn.detik.net.id/customthumb/2013/12/23/4/pns.jpeg?w=250&q=90,kemenkominfo,"['Komunikasi', 'Informatika', 'Kemenkominfo', 'CPNS']"
"CASN 2024 Dibuka 3 Kali, Catat Jadwal Pendaftarannya!",https://www.cnbcindonesia.com/news/20240320111146-4-523575/casn-2024-dibuka-3-kali-catat-jadwal-pendaftarannya,https://awsimages.detik.net.id/visual/2023/11/09/peserta-mengikuti-pelaksanaan-skdseleksi-kompetensi-casn-2023-di-kantor-badan-kepegawaian-negara-bkn-pusat-jakarta-kamis-91120-3_43.jpeg?w=152&q=90,kemenkominfo,"['Komunikasi', 'Informatika', 'Kemenkominfo', 'CPNS']"
Kala Netizen Kompak Adu Kreativitas Edit Foto Gadis Berjas,https://news.detik.com/berita/d-4406069/kala-netizen-kompak-adu-kreativitas-edit-foto-gadis-berjas,https://akcdn.detik.net.id/community/media/visual/2019/01/29/b33296bb-4994-4284-b69c-9309efdba868_43.jpeg?w=250&q=90,kemenkominfo,"['Komunikasi', 'Informatika', 'Kemenkominfo', 'CPNS']"
"Daftar CPNS, Akun Pelamar Bisa Diserang Hacker?",https://finance.detik.com/loker/d-4221362/daftar-cpns-akun-pelamar-bisa-diserang-hacker,https://akcdn.detik.net.id/community/media/visual/2017/07/12/56cbe533-49f2-45b6-8314-1fd10868cefe_43.jpg?w=250&q=90,kemenkominfo,"['Komunikasi', 'Informatika', 'Kemenkominfo', 'CPNS']"
Cek Pengumuman Lokasi dan Jadwal SKD CPNS Kemenkominfo di Sini,http://money.kompas.com/read/2021/08/30/132746426/cek-pengumuman-lokasi-dan-jadwal-skd-cpns-kemenkominfo-di-sini,https://asset.kompas.com/crops/PNpifknoxMS3DQ0NiYDSW9RTVb4=/90x47:811x528/490x326/data/photo/2021/08/25/6125e7a368efe.png,kemenkominfo,"['Komunikasi', 'Informatika', 'Kemenkominfo', 'CPNS']"
Cek Pengumuman Akhir CPNS 2021 Kominfo hingga Kementan di Sini!,https://finance.detik.com/cpns/d-5873936/cek-pengumuman-akhir-cpns-2021-kominfo-hingga-kementan-di-sini,https://akcdn.detik.net.id/community/media/visual/2021/11/19/cpns-kemenkumham_43.jpeg?w=250&q=90,kemenkominfo,"['Komunikasi', 'Informatika', 'Kemenkominfo', 'CPNS']"
